Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,Size,ABV
5028,,1 Symbiotica Apple 0.375,300.0,Pieces,Russia,0.375,4.5
4846,,1 Symbiotica Hard Kombucha Renegade Aronia 0.33,200.0,Pieces,Russia,0.33,3.0
1340,,1000 IBU Imperial IPA Barrel l,960.0,Liters,,1.0,9.6
4372,,18th Street Brewery,,,USA,,
4302,,18th Street Brewery Deal With The Devil 0.473,630.0,Pieces,USA,0.473,8.5
4304,,18th Street Brewery Pins And Needles 0.473,630.0,Pieces,USA,0.473,8.5
4300,,18th Street Brewery Rise Of The Angels 0.473,520.0,Pieces,USA,0.473,7.5
4775,,18th Street Brewery Rubicon 0.473,480.0,Pieces,USA,0.473,7.0
4301,,18th Street Brewery Sex and Candy 0.473,480.0,Pieces,USA,0.473,7.5
4303,,18th Street Brewery Under Crown 0.473,640.0,Pieces,USA,0.473,8.8
4602,,Lambik Bar,,,,,
3488,,Honey,,,,,
4738,,2nd Shift Brewing Arancia e Ibisco Barrel,900.0,Liters,USA,1.0,5.9
3041,,2Y,,,,,
170,3Fonteine,3Fonteinen Doesjel 20/ lambic / 6% / 0.375,850.0,Pieces,Belgium,0.375,6.0
1176,3Fonteine,3Fonteinen Intense Red Oude Kriek / 5% / 0.75,3300.0,Pieces,Belgium,0.75,6.0
726,3Fonteine,3Fonteinen Oude Geuze / 6% / 0.75,1500.0,Pieces,Belgium,0.75,6.0
1617,3Fonteine,3Fonteinen Oude Geuze 20/ 5% / 0.375,950.0,Pieces,Belgium,0.375,5.0
4548,3Fonteine,3Fonteinen Oude Geuze 20Assemblage 59 0.375,1100.0,Pieces,Belgium,0.375,6.6
1845,3Fonteine,3Fonteinen Oude Geuze 20assemlage 9/Oud Gez 2 0.75,1600.0,Pieces,Belgium,0.75,5.3
2865,3Fonteine,3Fonteinen Oude Geuze 20Blend No. 55 0.375,1100.0,Pieces,Belgium,0.375,5.3
3139,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 0.375,1550.0,Pieces,Belgium,0.375,6.2
3140,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 0.375,1550.0,Pieces,Belgium,0.375,6.4
4546,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 57 0.375,1550.0,Pieces,Belgium,0.375,6.8
4547,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 66 0.375,1550.0,Pieces,Belgium,0.375,6.9
3733,3Fonteine,3Fonteinen Oude Geuze Assamblage 59 0.75,2000.0,Pieces,Belgium,0.75,6.3
2242,3Fonteine,3Fonteinen Oude Geuze Assemblage / 0.375,1000.0,Pieces,Belgium,0.375,5.7
2243,3Fonteine,3Fonteinen Oude Geuze Assemblage / 0.375,1050.0,Pieces,Belgium,0.375,5.3
3141,3Fonteine,3Fonteinen Oude Geuze Assemblage 0.375,1100.0,Pieces,Belgium,0.375,6.3
1618,3Fonteine,3Fonteinen Oude Geuze Cuvee Armand & Gaston / 5% / 0.75,2500.0,Pieces,Belgium,0.75,5.0
4215,3Fonteine,"3Fonteinen Oude Geuze Cuvee Armand & Gaston 1,5L",8000.0,Pieces,Belgium,1.5,6.2
2866,3Fonteine,3Fonteinen Oude Geuze Cuvée Armand & Gaston 20Blend No. 56 0.375,1600.0,Pieces,Belgium,0.375,5.0
2867,3Fonteine,3Fonteinen Oude Geuze Cuvée Armand & Gaston 20Blend No. 58 0.75,3200.0,Pieces,Belgium,0.75,5.0
171,3Fonteine,3Fonteinen Oude Gueuze / 6% / 0.375,800.0,Pieces,Belgium,0.375,6.0
727,3Fonteine,3Fonteinen Oude Kriek / 6% / 0.75,2000.0,Pieces,Belgium,0.75,6.0
1619,3Fonteine,3Fonteinen Oude Kriek 20/ 6% / 0.75,2500.0,Pieces,Belgium,0.75,6.0
2892,3Fonteine,3Fonteinen Oude Kriek 20Blend No. 8 0.375,1550.0,Pieces,Belgium,0.375,6.4
2244,3Fonteine,3Fonteinen Oude Kriekenlambik Assemblage / 0.375,1500.0,Pieces,Belgium,0.375,5.4
5076,3Fonteine,3Fonteinen Ommazh 20Assambljazh 33,6000.0,Pieces,Belgium,0.75,5.8
5079,3Fonteine,3Fonteinen Oud Gez 20assambljazh 38,2000.0,Pieces,Belgium,0.75,6.4
5078,3Fonteine,3Fonteinen Oud Gez Arman Gaston 20Assambljazh 14,3000.0,Pieces,Belgium,0.75,7.3
5077,3Fonteine,3Fonteinen Oud Gez Arman Gaston 20assambljazh 19,3000.0,Pieces,Belgium,0.75,6.1
2076,3Fonteine,3Fonteinen Oud Krik Assambljazh n31,1550.0,Pieces,Belgium,0.375,5.6
4874,4 Brewers,4 Brewers IPA 2 Barrel,600.0,Liters,Russia,1.0,7.0
4871,4 Brewers,4 Brewers Santa muerte Barrel,600.0,Liters,Russia,1.0,6.5
4728,4 Brewers,4Brewers,,,Russia,,
5187,4 Brewers,4Brewers Broken Pattern 0.5,330.0,Pieces,Russia,0.5,6.5
5256,4 Brewers,4Brewers Pale Blue Dot Barrel,600.0,Liters,Russia,1.0,8.0
4873,4 Brewers,4Brewers Doza 0.5,330.0,Pieces,Russia,0.5,6.0
4730,4 Brewers,4Brewers Zavisimost' 0.5,330.0,Pieces,Russia,0.5,5.0
4731,4 Brewers,4Brewers Zavsisimost' HOT 0.33,300.0,Pieces,Russia,0.33,6.9
4729,4 Brewers,4Brewers ZOZh 0.33,300.0,Pieces,Russia,0.33,6.0
5257,4 Brewers,4Brewers ZOZh HOT 0.33,300.0,Pieces,Russia,0.33,6.0
5186,4 Brewers,4Brewers Magija 0.5,330.0,Pieces,Russia,0.5,6.2
5185,4 Brewers,4Brewers Magija Barrel,600.0,Liters,Russia,1.0,6.2
4872,4 Brewers,4Brewers Ostraja Zavisimost' 0.5,330.0,Pieces,Russia,0.5,6.9
1767,,8 Barrels in assortment,480.0,Pieces,,,
3741,Bakunin,Acid Garden Bakunin,560.0,Liters,Russia,1.0,5.0
5111,,Actual,,,,,
58,Aegir,Aegir,,,Norway,,
3732,Aegir,Aegir Happy Gluten Free 0.33,400.0,Pieces,Norway,0.33,4.7
855,Aegir,AEgir India Pale Ale / 6.5% / 0.33zhb,350.0,Pieces,Norway,0.33,6.5
