Date_and_time_of_unloading,Product_code,Amount,Sale_amount,Discount_amount,Profit,Percentage_markup,Discount_percentage
2020-01-01 23:00:00,144,1.0,280.0,,155.0,124.0,
2020-01-01 23:00:00,209,2.0,545.73,294.27,75.73,16.11,35.03
2020-01-01 23:00:00,213,2.0,1265.05,34.95,653.05,106.71,2.69
2020-01-01 23:00:00,217,1.0,630.0,70.0,220.5,53.85,10.0
2020-01-01 23:00:00,222,2.0,1104.75,195.25,393.75,55.38,15.02
2020-01-01 23:00:00,243,1.0,292.36,157.64,1.36,0.47,35.03
2020-01-01 23:00:00,258,1.0,559.55,240.45,93.55,20.08,30.06
2020-01-01 23:00:00,270,2.0,497.82,242.18,35.82,7.75,32.73
2020-01-01 23:00:00,271,1.0,324.84,175.16,53.84,19.87,35.03
2020-01-01 23:00:00,282,1.0,423.0,47.0,252.0,147.37,10.0
2020-01-01 23:00:00,294,1.0,324.84,175.16,25.84,8.64,35.03
2020-01-01 23:00:00,298,1.0,180.0,,90.32,100.71,
2020-01-01 23:00:00,386,1.0,370.0,,165.0,80.49,
2020-01-01 23:00:00,457,1.0,230.0,100.0,51.0,28.49,30.3
2020-01-01 23:00:00,566,3.0,549.42,110.58,211.35,62.52,16.75
2020-01-01 23:00:00,581,5.0,2032.71,717.29,615.21,43.4,26.08
2020-01-01 23:00:00,615,1.0,407.62,22.38,162.62,66.38,5.2
2020-01-01 23:00:00,646,1.0,280.0,,150.0,115.38,
2020-01-01 23:00:00,688,1.0,255.97,14.03,133.25,108.58,5.2
2020-01-01 23:00:00,706,1.0,160.0,,73.27,84.48,
2020-01-01 23:00:00,839,1.0,175.46,44.54,31.46,21.85,20.25
2020-01-01 23:00:00,840,1.0,199.39,50.61,7.39,3.85,20.24
2020-01-01 23:00:00,843,1.0,175.46,44.54,50.46,40.37,20.25
2020-01-01 23:00:00,850,1.0,226.04,123.96,31.04,15.92,35.42
2020-01-01 23:00:00,888,1.0,990.0,110.0,-160.0,-13.91,10.0
2020-01-01 23:00:00,1019,0.25,160.0,20.0,81.25,103.17,11.11
2020-01-01 23:00:00,1205,1.0,458.03,101.97,265.79,138.26,18.21
2020-01-01 23:00:00,1214,1.0,419.66,180.34,100.16,31.35,30.06
2020-01-01 23:00:00,1238,5.0,1150.0,100.0,575.0,100.0,8.0
2020-01-01 23:00:00,1276,1.0,379.19,20.81,175.19,85.88,5.2
2020-01-01 23:00:00,1362,0.25,238.89,61.11,66.39,38.49,20.37
2020-01-01 23:00:00,1434,2.0,780.0,100.0,404.0,107.45,11.36
2020-01-01 23:00:00,1470,1.0,255.21,64.79,93.21,57.54,20.25
2020-01-01 23:00:00,1471,1.0,255.21,64.79,93.21,57.54,20.25
2020-01-01 23:00:00,1472,2.0,539.27,60.73,239.27,79.76,10.12
2020-01-01 23:00:00,1486,1.0,663.57,36.43,263.57,65.89,5.2
2020-01-01 23:00:00,1497,1.0,220.0,60.0,75.0,51.72,21.43
2020-01-01 23:00:00,1498,1.0,210.0,,110.0,110.0,
2020-01-01 23:00:00,1501,1.0,487.5,212.5,172.5,54.76,30.36
2020-01-01 23:00:00,1510,1.0,195.89,84.11,65.89,50.68,30.04
2020-01-01 23:00:00,1530,1.0,263.65,66.35,113.65,75.77,20.11
2020-01-01 23:00:00,1534,1.0,312.83,17.17,102.83,48.97,5.2
2020-01-01 23:00:00,1561,0.5,280.0,,163.35,140.03,
2020-01-01 23:00:00,1562,1.0,280.0,70.0,80.0,40.0,20.0
2020-01-01 23:00:00,1565,1.0,474.03,25.97,215.03,83.02,5.19
2020-01-01 23:00:00,1594,0.5,300.0,,165.0,122.22,
